root,param_folder,param_dir,n_epochs,learning_rate,interaction_rate,dead_time,lambda_sensitivity,n_bees,n_tasks,time,threshold,any_geq,exactly_one_geq,unique_specialist,avg_agents_geq_per_task
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_22_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_22_rep_3,2000,5.0e-5,10,1,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_22_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_22_rep_3,2000,5.0e-5,10,1,1000000,3,3,2000.0,0.8,2,2,2,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_22_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_22_rep_3,2000,5.0e-5,10,1,1000000,3,3,2000.0,0.9,2,2,2,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_23_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_23_rep_1,2000,5.0e-5,10,10,1000000,3,3,1000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_23_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_23_rep_1,2000,5.0e-5,10,10,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_23_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_23_rep_1,2000,5.0e-5,10,10,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_23_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_23_rep_1,2000,5.0e-5,10,10,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_23_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_23_rep_2,2000,5.0e-5,10,10,1000000,3,3,1000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_23_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_23_rep_2,2000,5.0e-5,10,10,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_23_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_23_rep_2,2000,5.0e-5,10,10,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_23_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_23_rep_2,2000,5.0e-5,10,10,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_23_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_23_rep_3,2000,5.0e-5,10,10,1000000,3,3,1000.0,0.8,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_23_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_23_rep_3,2000,5.0e-5,10,10,1000000,3,3,1000.0,0.9,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_23_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_23_rep_3,2000,5.0e-5,10,10,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_23_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_23_rep_3,2000,5.0e-5,10,10,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_24_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_24_rep_1,2000,5.0e-5,10,100,1000000,3,3,1000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_24_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_24_rep_1,2000,5.0e-5,10,100,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_24_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_24_rep_1,2000,5.0e-5,10,100,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_24_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_24_rep_1,2000,5.0e-5,10,100,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_24_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_24_rep_2,2000,5.0e-5,10,100,1000000,3,3,1000.0,0.8,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_24_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_24_rep_2,2000,5.0e-5,10,100,1000000,3,3,1000.0,0.9,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_24_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_24_rep_2,2000,5.0e-5,10,100,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_24_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_24_rep_2,2000,5.0e-5,10,100,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_24_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_24_rep_3,2000,5.0e-5,10,100,1000000,3,3,1000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_24_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_24_rep_3,2000,5.0e-5,10,100,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_24_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_24_rep_3,2000,5.0e-5,10,100,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_24_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_24_rep_3,2000,5.0e-5,10,100,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_25_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_25_rep_1,2000,5.0e-5,100,1,1000000,3,3,1000.0,0.8,2,2,2,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_25_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_25_rep_1,2000,5.0e-5,100,1,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_25_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_25_rep_1,2000,5.0e-5,100,1,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_25_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_25_rep_1,2000,5.0e-5,100,1,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_25_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_25_rep_2,2000,5.0e-5,100,1,1000000,3,3,1000.0,0.8,2,2,2,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_25_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_25_rep_2,2000,5.0e-5,100,1,1000000,3,3,1000.0,0.9,2,2,2,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_25_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_25_rep_2,2000,5.0e-5,100,1,1000000,3,3,2000.0,0.8,2,2,2,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_25_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_25_rep_2,2000,5.0e-5,100,1,1000000,3,3,2000.0,0.9,2,2,2,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_25_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_25_rep_3,2000,5.0e-5,100,1,1000000,3,3,1000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_25_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_25_rep_3,2000,5.0e-5,100,1,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_25_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_25_rep_3,2000,5.0e-5,100,1,1000000,3,3,2000.0,0.8,2,2,2,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_25_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_25_rep_3,2000,5.0e-5,100,1,1000000,3,3,2000.0,0.9,2,2,2,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_26_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_26_rep_1,2000,5.0e-5,100,10,1000000,3,3,1000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_26_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_26_rep_1,2000,5.0e-5,100,10,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_26_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_26_rep_1,2000,5.0e-5,100,10,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_26_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_26_rep_1,2000,5.0e-5,100,10,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_26_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_26_rep_2,2000,5.0e-5,100,10,1000000,3,3,1000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_26_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_26_rep_2,2000,5.0e-5,100,10,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_26_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_26_rep_2,2000,5.0e-5,100,10,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_26_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_26_rep_2,2000,5.0e-5,100,10,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_26_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_26_rep_3,2000,5.0e-5,100,10,1000000,3,3,1000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_26_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_26_rep_3,2000,5.0e-5,100,10,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_26_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_26_rep_3,2000,5.0e-5,100,10,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_26_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_26_rep_3,2000,5.0e-5,100,10,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_27_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_27_rep_1,2000,5.0e-5,100,100,1000000,3,3,1000.0,0.8,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_27_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_27_rep_1,2000,5.0e-5,100,100,1000000,3,3,1000.0,0.9,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_27_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_27_rep_1,2000,5.0e-5,100,100,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_27_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_27_rep_1,2000,5.0e-5,100,100,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_27_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_27_rep_2,2000,5.0e-5,100,100,1000000,3,3,1000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_27_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_27_rep_2,2000,5.0e-5,100,100,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_27_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_27_rep_2,2000,5.0e-5,100,100,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_27_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_27_rep_2,2000,5.0e-5,100,100,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_27_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_27_rep_3,2000,5.0e-5,100,100,1000000,3,3,1000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_27_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_27_rep_3,2000,5.0e-5,100,100,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_27_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_27_rep_3,2000,5.0e-5,100,100,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_27_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_27_rep_3,2000,5.0e-5,100,100,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_28_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_28_rep_1,2000,0.0001,1,1,1000000,3,3,1000.0,0.8,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_28_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_28_rep_1,2000,0.0001,1,1,1000000,3,3,1000.0,0.9,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_28_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_28_rep_1,2000,0.0001,1,1,1000000,3,3,2000.0,0.8,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_28_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_28_rep_1,2000,0.0001,1,1,1000000,3,3,2000.0,0.9,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_28_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_28_rep_2,2000,0.0001,1,1,1000000,3,3,1000.0,0.8,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_28_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_28_rep_2,2000,0.0001,1,1,1000000,3,3,1000.0,0.9,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_28_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_28_rep_2,2000,0.0001,1,1,1000000,3,3,2000.0,0.8,1,0,0,1.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_28_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_28_rep_2,2000,0.0001,1,1,1000000,3,3,2000.0,0.9,1,0,0,1.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_28_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_28_rep_3,2000,0.0001,1,1,1000000,3,3,1000.0,0.8,1,0,0,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_28_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_28_rep_3,2000,0.0001,1,1,1000000,3,3,1000.0,0.9,1,0,0,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_28_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_28_rep_3,2000,0.0001,1,1,1000000,3,3,2000.0,0.8,1,0,0,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_28_rep_3,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_28_rep_3,2000,0.0001,1,1,1000000,3,3,2000.0,0.9,1,0,0,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_29_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_29_rep_1,2000,0.0001,1,10,1000000,3,3,1000.0,0.8,2,2,2,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_29_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_29_rep_1,2000,0.0001,1,10,1000000,3,3,1000.0,0.9,2,2,2,0.6666666666666666
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_29_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_29_rep_1,2000,0.0001,1,10,1000000,3,3,2000.0,0.8,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_29_rep_1,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_29_rep_1,2000,0.0001,1,10,1000000,3,3,2000.0,0.9,0,0,0,0.0
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_29_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_29_rep_2,2000,0.0001,1,10,1000000,3,3,1000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_29_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_29_rep_2,2000,0.0001,1,10,1000000,3,3,1000.0,0.9,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_29_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_29_rep_2,2000,0.0001,1,10,1000000,3,3,2000.0,0.8,1,1,1,0.3333333333333333
/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep,param_29_rep_2,/project/theorie/n/N.Pfaffenzeller/results_project/checkpoint/3b3t2000e_car_iris_wine_sweep/data/param_29_rep_2,2000,0.0001,1,10,1000000,3,3,2000.0,0.9,1,1,1,0.3333333333333333
